项目名称,项目标识,数据日期,项目分类,Stars,Forks,Open Issues,Watchers,社区活力评分,外部影响力评分,语言,License
OpenViking,volcengine/OpenViking,2026-04-15,自我,22321,1632,161,22321,100,100,Python,GNU Affero General Public License v3.0
memU,NevaMind-AI/memU,2026-04-15,同类对标,13352,1002,99,13352,100,90.0,Python,Other
lancedb,lancedb/lancedb,2026-04-15,同类对标,9947,844,648,9947,100,86.9,HTML,Apache License 2.0
qmd,tobi/qmd,2026-04-15,同类对标,21672,1349,304,21672,100,97.0,TypeScript,MIT License
mem0,mem0ai/mem0,2026-04-15,同类对标,53113,5957,223,53113,100,100,Python,Apache License 2.0
LycheeMem,LycheeMem/LycheeMem,2026-04-15,同类对标,226,7,1,226,23.8,6.9,Python,Apache License 2.0
LightMem,zjunlp/LightMem,2026-04-15,同类对标,759,66,3,759,38.1,24.1,Python,MIT License
ReMe,agentscope-ai/ReMe,2026-04-15,同类对标,2732,223,16,2732,60.3,51.8,Python,Apache License 2.0
supermemory,supermemoryai/supermemory,2026-04-15,同类对标,21815,2003,12,21815,66.0,100,TypeScript,MIT License
openclaw,openclaw/openclaw,2026-04-15,同类对标,357857,72706,18810,357857,100,100,TypeScript,MIT License
hermes-agent,NousResearch/hermes-agent,2026-04-15,同类对标,88014,11953,4527,88014,100,100,Python,MIT License
deer-flow,bytedance/deer-flow,2026-04-15,同类对标,61699,7949,645,61699,100,100,Python,MIT License
